date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:02	3430/3430	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:02:52%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_microphone.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_microphone.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_fileupload.css)
10:56:02	3747/3747	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:02:54%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_webcam.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_webcam.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_fileupload.css)
10:56:02	2904/2904	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:02:52%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_okay.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_okay.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_fileupload.css)
10:56:02	2969/2969	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:02:53%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_remove.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_remove.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_fileupload.css)
10:56:03	63284/63284	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:09:04%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/telephoneinput/img/flags16.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/telephoneinput/img/flags16.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/telephoneinput/telephoneinput.css)
10:56:04	12072/12072	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20Jan%202021%2007:08:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.eot	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.eot	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/summernote-bs4.css)
10:56:04	12072/12072	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20Jan%202021%2007:08:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.eot?	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernoted41d.eot	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/summernote-bs4.css)
10:56:05	6156/6156	---M--	200	added ('OK')	font/woff2	date:Wed,%2020%20Jan%202021%2007:08:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.woff2	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.woff2	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/summernote-bs4.css)
10:56:05	7428/7428	---M--	200	added ('OK')	font/woff	date:Wed,%2020%20Jan%202021%2007:08:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.woff	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.woff	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/summernote-bs4.css)
10:56:06	11896/11896	---M--	200	added ('OK')	font/ttf	date:Wed,%2020%20Jan%202021%2007:08:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.ttf	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/font/summernote.ttf	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/summernote/summernote-bs4.css)
10:56:06	2241/2241	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:07:48%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/lightslider/img/controls.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/lightslider/img/controls.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/lightslider/css/lightslider.min.css)
10:56:06	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:05%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.video.play.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.carousel.css)
10:56:06	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:05%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/female/6.jpg	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/female/6.jpg	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.carousel.css)
10:56:08	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:07%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/male/13.jpg	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/male/13.22c.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.carousel.css)
10:56:09	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:08%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/female/15.jpg	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/images/faces/female/15.22d.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/owl-carousel/owl.carousel.css)
10:56:10	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:09%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/.multi-collapse	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/.html	(from https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/collapse.html)
10:56:10	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:09%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_444444_256x240.22e.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:11	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:10%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_555555_256x240.22f.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:13	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:12%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_ffffff_256x240.230.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:14	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:13%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_777620_256x240.231.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:15	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:14%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_cc0000_256x240.232.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:16	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:15%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/images/ui-icons_777777_256x240.233.delayed	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/darggable/jquery-ui-darggable.css)
10:56:19	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:18%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont.svg	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont-3.html	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/materialdesignicons.css)
10:56:19	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:18%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont.woff	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont.html	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/materialdesignicons.css)
10:56:19	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:18%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont.ttf	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/fonts/materialdesignicons/materialdesignicons-webfont-2.html	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/materialdesignicons/materialdesignicons.css)
